YEAR,RANGE_CATEGORY,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL,FUEL CONSUMPTION,KMXGALON,EMISSIONS
2000,HIGH_RANGE,MIDSIZE_FULLSIZE,2.7,6,Z,13.6,40.2335,264
2000,HIGH_RANGE,MIDSIZE_FULLSIZE,2.7,6,Z,13.6,38.62416,267
2000,HIGH_RANGE,SEDAN_COMPACT,2.7,6,Z,13.6,38.62416,267
2000,HIGH_RANGE,SEDAN_COMPACT,2.5,6,Z,12.3,43.45218,237
2000,HIGH_RANGE,SEDAN_COMPACT,4.9,8,Z,17.7,32.1868,331
2000,HIGH_RANGE,SUV_CROSSOVER,5.7,8,X,19.2,27.35878,382
2000,MID_RANGE,SUV_CROSSOVER,4.3,6,X,14.6,37.01482,288
2000,MID_RANGE,TRUCK_VAN,4.3,6,X,16.7,30.57746,338
2000,MID_RANGE,TRUCK_VAN,4.3,6,X,16.0,32.1868,327
2000,MID_RANGE,TRUCK_VAN,4.8,8,X,15.6,32.1868,322
2000,MID_RANGE,SUV_CROSSOVER,5.3,8,X,17.1,30.57746,345
2000,MID_RANGE,MIDSIZE_FULLSIZE,2.5,6,X,12.1,45.06152,235
2000,MID_RANGE,MIDSIZE_FULLSIZE,3.2,6,X,12.6,43.45218,239
2000,LOW_RANGE,SEDAN_COMPACT,1.6,4,X,10.2,53.10822,196
2000,LOW_RANGE,SEDAN_COMPACT,2.2,4,X,11.6,46.67086,223
2000,LOW_RANGE,SEDAN_COMPACT,2.0,4,X,10.5,51.49888,202
2000,MID_RANGE,TRUCK_VAN,5.9,8,X,20.3,25.74944,396
2000,MID_RANGE,SEDAN_COMPACT,4.6,8,X,14.1,38.62416,271
2000,MID_RANGE,WAGON_SPECIALTY,3.0,6,X,12.6,43.45218,244
2000,MID_RANGE,TRUCK_VAN,3.8,6,X,13.3,38.62416,267
2000,MID_RANGE,TRUCK_VAN,5.0,8,X,16.5,30.57746,334
2000,MID_RANGE,SUV_CROSSOVER,5.7,8,X,19.2,27.35878,382
2000,MID_RANGE,MIDSIZE_FULLSIZE,2.0,4,X,9.3,54.71756,189
2000,MID_RANGE,TRUCK_VAN,4.0,6,X,15.5,33.79614,313
2000,MID_RANGE,TRUCK_VAN,2.5,6,X,13.6,38.62416,274
2000,MID_RANGE,SEDAN_COMPACT,1.8,4,X,10.1,49.88954,207
2000,HIGH_RANGE,SEDAN_COMPACT,2.3,4,Z,10.6,49.88954,209
2000,HIGH_RANGE,SEDAN_COMPACT,3.4,6,Z,14.1,38.62416,274
2000,LOW_RANGE,WAGON_SPECIALTY,2.3,4,X,11.7,46.67086,225
2000,MID_RANGE,SEDAN_COMPACT,1.9,4,X,8.0,67.59228,156
2000,MID_RANGE,WAGON_SPECIALTY,1.9,4,X,9.3,57.93624,179
2000,LOW_RANGE,SEDAN_COMPACT,1.3,4,X,7.8,64.3736,163
2000,MID_RANGE,SEDAN_COMPACT,1.8,4,X,8.0,64.3736,161
2000,MID_RANGE,SEDAN_COMPACT,1.8,4,X,7.5,69.20162,152
2000,MID_RANGE,TRUCK_VAN,3.4,6,X,14.1,35.40548,292
2000,MID_RANGE,WAGON_SPECIALTY,2.8,6,Z,11.9,46.67086,228
2000,MID_RANGE,MIDSIZE_FULLSIZE,2.9,6,Z,12.9,41.84284,251
2000,MID_RANGE,WAGON_SPECIALTY,2.3,5,Z,11.5,46.67086,225
2001,HIGH_RANGE,SUV_CROSSOVER,3.5,6,Z,13.9,38.62416,274
2001,HIGH_RANGE,SEDAN_COMPACT,1.8,4,Z,10.4,51.49888,202
2001,HIGH_RANGE,SUV_CROSSOVER,2.7,6,Z,14.8,35.40548,294
2001,HIGH_RANGE,SEDAN_COMPACT,2.7,6,Z,13.6,40.2335,264
2001,HIGH_RANGE,SEDAN_COMPACT,2.7,6,Z,13.6,38.62416,267
2001,HIGH_RANGE,SEDAN_COMPACT,2.2,6,Z,11.3,48.2802,218
2001,HIGH_RANGE,SEDAN_COMPACT,2.5,6,Z,11.8,45.06152,230
2001,HIGH_RANGE,SEDAN_COMPACT,3.2,6,Z,14.5,38.62416,276
2001,HIGH_RANGE,MIDSIZE_FULLSIZE,4.6,8,Z,14.0,40.2335,260
2001,MID_RANGE,TRUCK_VAN,4.3,6,X,16.1,32.1868,327
2001,MID_RANGE,SUV_CROSSOVER,4.8,8,X,15.8,33.79614,313
2001,MID_RANGE,TRUCK_VAN,2.2,4,X,12.6,41.84284,248
2001,MID_RANGE,TRUCK_VAN,3.4,6,X,12.3,43.45218,242
2001,MID_RANGE,SEDAN_COMPACT,2.0,4,X,8.6,59.54558,177
2001,MID_RANGE,SEDAN_COMPACT,2.4,4,X,11.5,46.67086,228
2001,MID_RANGE,SEDAN_COMPACT,3.0,6,X,12.3,43.45218,239
2001,MID_RANGE,TRUCK_VAN,5.9,8,X,19.9,27.35878,384
2001,MID_RANGE,TRUCK_VAN,5.2,8,X,18.3,30.57746,350
2001,MID_RANGE,TRUCK_VAN,5.9,8,X,19.5,27.35878,377
2001,MID_RANGE,SEDAN_COMPACT,2.5,6,X,11.4,48.2802,218
2001,MID_RANGE,TRUCK_VAN,4.0,6,X,15.0,35.40548,299
2001,MID_RANGE,TRUCK_VAN,4.2,6,X,14.5,35.40548,294
2001,MID_RANGE,WAGON_SPECIALTY,2.0,4,X,9.2,56.3269,184
2001,MID_RANGE,WAGON_SPECIALTY,2.0,4,X,9.5,54.71756,189
2001,MID_RANGE,WAGON_SPECIALTY,3.0,6,X,13.3,41.84284,253
2001,HIGH_RANGE,SUV_CROSSOVER,3.5,6,X,15.6,32.1868,320
2001,LOW_RANGE,SUV_CROSSOVER,3.5,6,X,15.9,32.1868,322
2001,MID_RANGE,SUV_CROSSOVER,4.0,6,X,15.7,32.1868,327
2001,MID_RANGE,SEDAN_COMPACT,2.4,4,X,11.0,48.2802,218
2001,HIGH_RANGE,SEDAN_COMPACT,3.0,6,X,12.3,43.45218,242
2001,HIGH_RANGE,MIDSIZE_FULLSIZE,4.3,8,Z,12.8,41.84284,253
2001,HIGH_RANGE,MIDSIZE_FULLSIZE,4.6,8,Z,13.6,40.2335,262
2001,HIGH_RANGE,MIDSIZE_FULLSIZE,3.0,6,Z,13.0,41.84284,253
2001,MID_RANGE,TRUCK_VAN,4.0,6,X,14.7,35.40548,294
2001,HIGH_RANGE,SEDAN_COMPACT,4.3,8,Z,12.9,41.84284,253
2001,HIGH_RANGE,SUV_CROSSOVER,3.2,6,Z,13.9,37.01482,283
2001,MID_RANGE,SEDAN_COMPACT,2.4,4,X,10.9,48.2802,216
2001,MID_RANGE,TRUCK_VAN,3.3,6,Z,15.7,32.1868,322
2001,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,10.8,48.2802,218
2001,MID_RANGE,SUV_CROSSOVER,3.5,6,X,14.7,33.79614,308
2001,MID_RANGE,TRUCK_VAN,3.3,6,X,13.9,38.62416,271
2001,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,11.8,45.06152,235
2001,MID_RANGE,SUV_CROSSOVER,2.5,4,X,10.8,46.67086,221
2001,LOW_RANGE,SUV_CROSSOVER,2.5,6,X,12.9,38.62416,274
2001,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,11.2,48.2802,218
2001,MID_RANGE,SEDAN_COMPACT,2.0,4,X,9.8,53.10822,196
2001,MID_RANGE,WAGON_SPECIALTY,2.8,6,Z,13.7,38.62416,267
2001,MID_RANGE,SEDAN_COMPACT,2.4,5,Z,11.0,46.67086,221
2002,HIGH_RANGE,SUV_CROSSOVER,3.5,6,Z,13.9,38.62416,274
2002,HIGH_RANGE,SEDAN_COMPACT,3.2,6,Z,14.0,38.62416,271
2002,HIGH_RANGE,SEDAN_COMPACT,1.8,4,Z,11.3,46.67086,221
2002,HIGH_RANGE,MIDSIZE_FULLSIZE,3.0,6,Z,12.6,41.84284,248
2002,HIGH_RANGE,MIDSIZE_FULLSIZE,2.7,6,Z,13.7,40.2335,264
2002,HIGH_RANGE,SEDAN_COMPACT,2.7,6,Z,13.6,38.62416,267
2002,HIGH_RANGE,SEDAN_COMPACT,2.2,6,Z,11.3,48.2802,218
2002,HIGH_RANGE,SEDAN_COMPACT,3.0,6,Z,11.3,48.2802,218
2002,HIGH_RANGE,SEDAN_COMPACT,2.5,6,Z,11.8,45.06152,232
2002,LOW_RANGE,WAGON_SPECIALTY,2.0,4,X,11.8,45.06152,230
2002,MID_RANGE,TRUCK_VAN,5.9,8,X,20.1,27.35878,386
2002,MID_RANGE,MIDSIZE_FULLSIZE,4.6,8,X,13.6,40.2335,264
2002,MID_RANGE,SUV_CROSSOVER,2.0,4,X,10.8,46.67086,228
2002,MID_RANGE,SUV_CROSSOVER,4.0,6,X,16.0,32.1868,317
2002,MID_RANGE,TRUCK_VAN,4.2,6,X,14.8,35.40548,299
2002,MID_RANGE,TRUCK_VAN,4.6,8,X,16.1,32.1868,327
2002,MID_RANGE,SEDAN_COMPACT,3.8,6,X,12.3,43.45218,239
2002,MID_RANGE,TRUCK_VAN,2.3,4,X,9.8,51.49888,205
2002,MID_RANGE,SEDAN_COMPACT,1.7,4,X,8.2,62.76426,168
2002,MID_RANGE,SEDAN_COMPACT,2.0,4,Z,11.6,45.06152,232
2002,MID_RANGE,SEDAN_COMPACT,1.6,4,X,8.7,61.15492,170
2002,MID_RANGE,SUV_CROSSOVER,4.7,8,X,17.3,30.57746,338
2002,MID_RANGE,SUV_CROSSOVER,4.0,6,X,15.7,32.1868,324
2002,MID_RANGE,TRUCK_VAN,3.5,6,X,15.6,33.79614,310
2002,MID_RANGE,TRUCK_VAN,3.0,6,X,13.6,38.62416,267
2002,HIGH_RANGE,SEDAN_COMPACT,2.3,4,Z,11.1,46.67086,221
2002,HIGH_RANGE,SEDAN_COMPACT,3.2,6,Z,12.2,43.45218,244
2002,MID_RANGE,MIDSIZE_FULLSIZE,2.5,4,X,10.4,49.88954,207
2002,MID_RANGE,TRUCK_VAN,3.3,6,X,14.4,33.79614,304
2002,MID_RANGE,TRUCK_VAN,3.3,6,X,14.3,35.40548,301
2002,MID_RANGE,SUV_CROSSOVER,3.3,6,Z,15.9,32.1868,324
2002,HIGH_RANGE,SEDAN_COMPACT,3.6,6,Z,14.0,38.62416,271
2002,HIGH_RANGE,SEDAN_COMPACT,3.2,6,Z,13.4,40.2335,258
2002,LOW_RANGE,MIDSIZE_FULLSIZE,2.0,4,X,11.6,46.67086,225
2002,LOW_RANGE,MIDSIZE_FULLSIZE,2.3,4,X,12.0,45.06152,230
2002,MID_RANGE,SEDAN_COMPACT,1.9,4,X,9.0,59.54558,175
2002,MID_RANGE,SEDAN_COMPACT,1.9,4,X,9.5,57.93624,182
2002,MID_RANGE,WAGON_SPECIALTY,2.0,4,Z,11.6,45.06152,230
2002,MID_RANGE,SEDAN_COMPACT,2.5,4,X,11.2,46.67086,225
2002,MID_RANGE,WAGON_SPECIALTY,2.5,4,X,10.8,46.67086,221
2002,LOW_RANGE,SUV_CROSSOVER,2.7,6,X,13.6,37.01482,281
2002,MID_RANGE,SEDAN_COMPACT,2.4,4,X,10.1,51.49888,200
2002,MID_RANGE,TRUCK_VAN,2.7,4,X,13.1,38.62416,271
2002,MID_RANGE,SEDAN_COMPACT,2.0,4,X,9.8,53.10822,198
2002,MID_RANGE,SEDAN_COMPACT,1.9,4,O,6.9,75.63898,162
2002,MID_RANGE,SEDAN_COMPACT,1.8,4,Z,10.3,49.88954,207
2002,MID_RANGE,MIDSIZE_FULLSIZE,2.8,6,Z,11.9,45.06152,230
2002,MID_RANGE,WAGON_SPECIALTY,2.4,5,Z,11.0,46.67086,221
2003,HIGH_RANGE,SEDAN_COMPACT,3.0,6,Z,13.7,38.62416,269
2003,HIGH_RANGE,SEDAN_COMPACT,2.0,4,X,8.7,59.54558,177
2003,HIGH_RANGE,SEDAN_COMPACT,1.8,4,Z,10.2,51.49888,205
2003,HIGH_RANGE,SEDAN_COMPACT,3.0,6,Z,11.5,45.06152,230
2003,HIGH_RANGE,SEDAN_COMPACT,2.2,6,Z,11.6,46.67086,223
2003,HIGH_RANGE,SEDAN_COMPACT,3.0,6,Z,11.9,45.06152,232
2003,MID_RANGE,MIDSIZE_FULLSIZE,3.8,6,Z,13.3,41.84284,248
2003,MID_RANGE,SUV_CROSSOVER,3.4,6,X,13.1,40.2335,258
2003,HIGH_RANGE,SUV_CROSSOVER,6.0,8,X,19.1,27.35878,377
2003,MID_RANGE,TRUCK_VAN,4.3,6,X,15.7,33.79614,308
2003,MID_RANGE,TRUCK_VAN,4.3,6,X,16.0,33.79614,313
2003,MID_RANGE,MIDSIZE_FULLSIZE,3.4,6,X,11.0,49.88954,209
2003,MID_RANGE,TRUCK_VAN,4.8,8,X,18.4,28.96812,361
2003,MID_RANGE,TRUCK_VAN,4.3,6,X,17.8,28.96812,352
2003,MID_RANGE,SUV_CROSSOVER,5.3,8,X,17.0,30.57746,343
2003,MID_RANGE,TRUCK_VAN,3.4,6,X,12.1,43.45218,237
2003,MID_RANGE,MIDSIZE_FULLSIZE,3.5,6,X,12.6,43.45218,242
2003,MID_RANGE,TRUCK_VAN,5.9,8,X,18.0,28.96812,352
2003,MID_RANGE,TRUCK_VAN,4.7,8,X,16.7,32.1868,327
2003,MID_RANGE,TRUCK_VAN,5.9,8,X,18.8,28.96812,363
2003,MID_RANGE,TRUCK_VAN,4.2,6,X,16.0,32.1868,322
2003,MID_RANGE,TRUCK_VAN,5.4,8,X,18.4,27.35878,386
2003,MID_RANGE,SEDAN_COMPACT,3.8,6,X,12.3,43.45218,239
2003,MID_RANGE,SEDAN_COMPACT,4.6,8,X,13.8,40.2335,264
2003,MID_RANGE,WAGON_SPECIALTY,3.0,6,X,12.7,41.84284,248
2003,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,11.5,46.67086,221
2003,MID_RANGE,SUV_CROSSOVER,2.4,4,X,11.0,45.06152,230
2003,MID_RANGE,SEDAN_COMPACT,1.5,4,X,8.9,59.54558,175
2003,MID_RANGE,SEDAN_COMPACT,2.0,4,X,9.6,54.71756,189
2003,MID_RANGE,MIDSIZE_FULLSIZE,2.7,6,X,12.3,43.45218,237
2003,MID_RANGE,SEDAN_COMPACT,2.7,6,X,12.0,43.45218,237
2003,HIGH_RANGE,MIDSIZE_FULLSIZE,4.0,8,Z,13.7,38.62416,267
2003,HIGH_RANGE,SEDAN_COMPACT,2.5,6,Z,12.5,43.45218,244
2003,MID_RANGE,SUV_CROSSOVER,4.0,6,X,14.3,35.40548,299
2003,HIGH_RANGE,SUV_CROSSOVER,2.5,6,X,13.8,37.01482,285
2003,HIGH_RANGE,SUV_CROSSOVER,4.4,8,Z,19.3,27.35878,377
2003,HIGH_RANGE,SEDAN_COMPACT,3.0,6,Z,13.1,40.2335,258
2003,MID_RANGE,SEDAN_COMPACT,1.6,4,X,9.3,54.71756,189
2003,HIGH_RANGE,SEDAN_COMPACT,1.8,4,Z,10.0,53.10822,198
2003,HIGH_RANGE,SEDAN_COMPACT,2.6,6,Z,12.3,41.84284,246
2003,HIGH_RANGE,SEDAN_COMPACT,3.2,6,Z,12.2,43.45218,239
2003,HIGH_RANGE,SEDAN_COMPACT,2.3,4,Z,10.8,48.2802,216
2003,MID_RANGE,SEDAN_COMPACT,1.6,4,Z,8.3,62.76426,166
2003,MID_RANGE,SEDAN_COMPACT,2.4,4,X,11.3,46.67086,223
2003,MID_RANGE,MIDSIZE_FULLSIZE,2.4,4,X,11.3,46.67086,225
2003,MID_RANGE,SEDAN_COMPACT,3.5,6,Z,12.8,41.84284,251
2003,MID_RANGE,SUV_CROSSOVER,3.3,6,X,14.8,35.40548,299
2003,LOW_RANGE,SEDAN_COMPACT,2.2,4,X,10.0,53.10822,196
2003,HIGH_RANGE,SEDAN_COMPACT,2.7,6,Z,13.3,41.84284,253
2003,LOW_RANGE,SEDAN_COMPACT,2.0,4,Z,11.3,46.67086,221
2003,LOW_RANGE,WAGON_SPECIALTY,2.3,4,Z,11.3,48.2802,218
2003,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,11.6,46.67086,225
2003,MID_RANGE,SUV_CROSSOVER,2.2,4,X,10.9,48.2802,218
2003,MID_RANGE,WAGON_SPECIALTY,2.5,4,X,10.8,46.67086,221
2003,LOW_RANGE,SEDAN_COMPACT,2.0,4,X,9.1,56.3269,184
2003,LOW_RANGE,WAGON_SPECIALTY,2.0,4,X,9.8,51.49888,202
2003,LOW_RANGE,WAGON_SPECIALTY,2.0,4,X,9.1,56.3269,184
2003,LOW_RANGE,SUV_CROSSOVER,2.0,4,X,10.4,48.2802,218
2003,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,11.5,46.67086,223
2003,MID_RANGE,SEDAN_COMPACT,3.0,6,X,11.9,45.06152,232
2003,MID_RANGE,WAGON_SPECIALTY,1.8,4,X,8.3,61.15492,172
2003,MID_RANGE,TRUCK_VAN,2.4,4,X,10.9,45.06152,230
2003,MID_RANGE,TRUCK_VAN,3.4,6,X,14.6,35.40548,301
2003,MID_RANGE,SEDAN_COMPACT,1.9,4,O,6.9,75.63898,162
2003,MID_RANGE,SEDAN_COMPACT,1.8,4,Z,10.8,48.2802,214
2003,MID_RANGE,WAGON_SPECIALTY,2.0,4,X,9.9,53.10822,196
2003,MID_RANGE,SEDAN_COMPACT,1.8,4,Z,10.3,49.88954,207
2003,MID_RANGE,MIDSIZE_FULLSIZE,1.8,4,Z,11.0,49.88954,212
2003,MID_RANGE,WAGON_SPECIALTY,2.8,6,Z,12.2,43.45218,237
2003,MID_RANGE,WAGON_SPECIALTY,2.5,5,Z,12.7,41.84284,251
2003,MID_RANGE,WAGON_SPECIALTY,2.3,5,Z,11.9,43.45218,237
2004,HIGH_RANGE,SEDAN_COMPACT,1.8,4,Z,11.7,46.67086,228
2004,HIGH_RANGE,SEDAN_COMPACT,3.0,6,Z,13.5,40.2335,260
2004,HIGH_RANGE,SEDAN_COMPACT,1.8,4,Z,11.3,46.67086,221
2004,HIGH_RANGE,SEDAN_COMPACT,2.5,6,Z,12.3,43.45218,239
2004,HIGH_RANGE,SEDAN_COMPACT,2.5,6,Z,11.3,48.2802,218
2004,HIGH_RANGE,WAGON_SPECIALTY,2.5,6,Z,12.2,43.45218,242
2004,HIGH_RANGE,MIDSIZE_FULLSIZE,3.0,6,Z,11.7,46.67086,223
2004,HIGH_RANGE,SEDAN_COMPACT,3.2,6,Z,13.3,40.2335,260
2004,HIGH_RANGE,SUV_CROSSOVER,3.0,6,Z,14.9,35.40548,297
2004,MID_RANGE,TRUCK_VAN,4.3,6,X,17.3,30.57746,350
2004,MID_RANGE,TRUCK_VAN,4.3,6,X,16.6,30.57746,334
2004,MID_RANGE,TRUCK_VAN,5.3,8,X,16.2,32.1868,329
2004,MID_RANGE,MIDSIZE_FULLSIZE,2.7,6,X,11.2,46.67086,223
2004,MID_RANGE,TRUCK_VAN,3.8,6,X,13.9,38.62416,271
2004,MID_RANGE,TRUCK_VAN,4.7,8,X,15.7,33.79614,310
2004,MID_RANGE,TRUCK_VAN,4.7,8,X,16.4,32.1868,320
2004,MID_RANGE,TRUCK_VAN,3.7,6,X,14.8,35.40548,299
2004,MID_RANGE,TRUCK_VAN,3.7,6,X,14.8,35.40548,297
2004,MID_RANGE,TRUCK_VAN,4.7,8,X,16.1,32.1868,324
2004,MID_RANGE,TRUCK_VAN,5.4,8,X,18.0,28.96812,363
2004,MID_RANGE,TRUCK_VAN,4.6,8,X,15.7,33.79614,315
2004,MID_RANGE,TRUCK_VAN,4.0,6,X,15.4,33.79614,306
2004,MID_RANGE,TRUCK_VAN,5.4,8,X,19.8,25.74944,398
2004,MID_RANGE,WAGON_SPECIALTY,2.0,4,X,9.5,54.71756,193
2004,MID_RANGE,WAGON_SPECIALTY,2.0,4,X,9.1,56.3269,184
2004,MID_RANGE,TRUCK_VAN,4.0,6,X,15.4,33.79614,313
2004,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,12.4,43.45218,242
2004,MID_RANGE,MIDSIZE_FULLSIZE,2.4,4,X,9.1,57.93624,182
2004,MID_RANGE,SEDAN_COMPACT,2.0,4,X,9.2,54.71756,189
2004,MID_RANGE,SUV_CROSSOVER,2.4,4,X,11.0,45.06152,230
2004,MID_RANGE,SEDAN_COMPACT,2.0,4,X,8.9,57.93624,179
2004,MID_RANGE,SUV_CROSSOVER,2.7,6,X,11.6,45.06152,232
2004,HIGH_RANGE,SUV_CROSSOVER,4.5,8,Z,15.9,32.1868,317
2004,HIGH_RANGE,SEDAN_COMPACT,3.5,6,Z,11.9,45.06152,235
2004,HIGH_RANGE,MIDSIZE_FULLSIZE,4.3,8,Z,13.2,40.2335,255
2004,HIGH_RANGE,MIDSIZE_FULLSIZE,4.6,8,X,13.9,38.62416,267
2004,MID_RANGE,TRUCK_VAN,3.0,6,X,13.5,38.62416,271
2004,HIGH_RANGE,SEDAN_COMPACT,3.2,6,Z,12.7,41.84284,246
2004,HIGH_RANGE,SUV_CROSSOVER,5.0,8,Z,18.7,27.35878,391
2004,HIGH_RANGE,MIDSIZE_FULLSIZE,5.0,8,Z,15.0,35.40548,294
2004,MID_RANGE,SEDAN_COMPACT,1.6,4,Z,8.3,62.76426,166
2004,MID_RANGE,SEDAN_COMPACT,1.6,4,Z,9.5,56.3269,186
2004,MID_RANGE,SEDAN_COMPACT,3.0,6,Z,11.7,46.67086,228
2004,MID_RANGE,SUV_CROSSOVER,3.8,6,Z,13.9,37.01482,281
2004,MID_RANGE,MIDSIZE_FULLSIZE,3.5,6,X,11.9,45.06152,230
2004,MID_RANGE,SUV_CROSSOVER,3.5,6,X,14.4,35.40548,299
2004,LOW_RANGE,TRUCK_VAN,3.4,6,X,13.7,38.62416,274
2004,MID_RANGE,SEDAN_COMPACT,3.4,6,X,11.0,49.88954,209
2004,LOW_RANGE,SEDAN_COMPACT,2.0,4,Z,11.5,46.67086,221
2004,LOW_RANGE,SEDAN_COMPACT,2.0,4,Z,10.9,49.88954,212
2004,MID_RANGE,SUV_CROSSOVER,3.5,6,X,11.9,45.06152,232
2004,MID_RANGE,SUV_CROSSOVER,2.5,4,X,10.9,46.67086,221
2004,MID_RANGE,WAGON_SPECIALTY,2.5,4,X,10.6,49.88954,212
2004,MID_RANGE,WAGON_SPECIALTY,2.5,4,X,11.2,46.67086,221
2004,MID_RANGE,SEDAN_COMPACT,2.5,4,X,11.5,46.67086,225
2004,MID_RANGE,SUV_CROSSOVER,4.0,6,X,13.7,37.01482,285
